artist,title,genre,mood,year
Casual,I Didn't Mean To,Hip Hop/Rap,sad,1994
Adam Ant,Something Girls,Rock,happy,1982
Gob,Face the Ashes,Rock,sad,2007
Lionel Richie,Tonight Will Be Alright,R&B,happy,1986
Blue Rodeo,Floating,Rock,sad,1987
Tesla,Caught In A Dream,Rock,happy,2004
The Dillinger Escape Plan,Setting Fire to Sleeping Giants,Rock,happy,
SUE THOMPSON,James (Hold The Ladder Steady),Pop,happy,1985
Five Bolt Main,Made Like This (Live),Rock,sad,2006
Willie Bobo,Spanish Grease,Jazz,sad,1997
John Wesley,The Emperor Falls,Rock,sad,1998
Billie Jo Spears,It Makes No Difference Now,Country,sad,1992
The Rolling Stones,Angie (1993 Digital Remaster),Rock,sad,1973
Stevie Ray Vaughan,Crossfire,Blues,happy,1992
Casiotone For The Painfully Alone,Nashville Parthenon,Jazz,sad,2006
Eliane Elias,,Jazz,sad,2009
Lost Boyz,Certain Things We Do,Hip Hop/Rap,happy,1997
The Germs,Forming,Rock,sad,1977
Chris Rea,Driving Home For Christmas,Rock,happy,1986
The Berzerker,Deform (live),Electronic,sad,2000
Kings Of Leon,Wicker Chair,Rock,sad,2003
NOFX,Stickin In My Eye,Rock,happy,1992
Van Halen,Panama (Remastered Album Version),Rock,happy,1984
Black Eyed Peas,Let's Get It Started,Hip Hop/Rap,happy,2004
Nine Inch Nails,Metal,Rock,sad,2000
Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),Rock,sad,1986
Lesley Gore,It's My Party,Pop,happy,1963
Slim Whitman,Indian Love Call,Country,sad,1990
Savage Garden,You Can Still Be Free,Rock,sad,1999
Queens Of The Stone Age,I Never Came,Rock,sad,2005
Inspiral Carpets,Commercial Reign,Rock,sad,1990
Redman,WKYA (drop),Hip Hop/Rap,happy,2001
Organized Konfusion,Hate,Hip Hop/Rap,sad,1997
Martina McBride,I Can't Stop Loving You,Country,sad,2005
Nazz,How Can You Call That Beautiful (Stewkey Vocal),Rock,happy,1971
Hot Tuna,Candy Man,Rock,sad,1971
Boyz II Men,On Bended Knee,R&B,sad,1994
Donny Hathaway,Little Girl (LP Version),Soul,happy,1971
Wolfmother,White Feather,Rock,happy,2009
Jupiter Rising,They Say (Album),Pop,happy,2007
Saafir,Crawl Before You Ball (Album Version),Hip Hop/Rap,sad,1999
The Verve Pipe,Medicate Myself,Rock,sad,
Maxi Priest,Groovin' In The Midnight,Ska,happy,1991
Porcupine Tree,Waiting,Rock,sad,1997
Foo Fighters,Hell,Rock,sad,2005
Robben Ford,I Got Over It (Album Version),Jazz,happy,1988
Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals),Christian,happy,2009
Dolly Parton,Letter To Heaven,Country,sad,1971
Pearl Jam,Inside Job,Rock,happy,2006
Natalie Cole,Take A Look  (LP Version),R&B,sad,1993
DJ Quik,Born and Raised In Compton,Hip Hop/Rap,happy,1991
Hank Locklin,We're Gonna Go Fishin',Country,happy,1962
Diesel Boy,Cooler Than You,Rock,happy,1998
Cradle Of Filth,Summer Dying Fast,Rock,sad,1994
Test Icicles,Snowball,Electronic,sad,2005
Heaven 17,(We Don't Need This) Fascist Groove Thang,Rock,sad,1981
Dimmu Borgir,Master Of Disharmony,Rock,sad,1996
Sex Pistols,God Save the Queen (Live),Rock,happy,1988
Chris Brown,Forever,R&B,happy,2008
Hem,Have Yourself A Merry Little Christmas,Pop,happy,2005
Lily Allen,U Killed It,Pop,sad,2006
The Killers,Spaceman,Rock,sad,2008
Orbital,Illuminate,Electronic,,2001
Rage Against The Machine,Kick Out The Jams,Hip Hop/Rap,happy,2000
Rise Against,Amber Changing,Rock,happy,2003
Korn,Hey Daddy,Rock,sad,1999
Agnes,I Need You Now,Rock,sad,2009
Tantric,Walk Away,Rock,happy,2009
Mastodon,Shadows That Move,Rock,sad,2001
Korn,Ever Be,Rock,sad,2007
Extreme,Teacher's Pet,Rock,happy,1958
Prozak,Go To Hell,Hip Hop/Rap,sad,2004
Placebo,English Summer Rain,Pop,sad,2003
LORE,Haunting,Rock,sad,2008
Soul Asylum,Lies Of Hate,Rock,sad,1998
Nightwish,Escapist,Rock,happy,2007
Silverstein,Always And Never (Album Version),Rock,sad,2005
The Notorious B.I.G.,Who Shot Ya (Amended Album Version),Hip Hop/Rap,sad,2007
Sandi Thom,Wounded Hearts,Pop,happy,2008
Gene Clark,Set You Free This Time,Rock,sad,1998
The Shirelles,Will You Love Me Tomorrow,R&B,happy,1960
Panic At The Disco,Northern Downpour (Album Version),Rock,sad,2008
Jan Howard,Bad Seed,Country,happy,1966
Sticky Fingaz,Oh My God,Hip Hop/Rap,sad,2000
The Jeff Healey Band,Hoochie Coochie Man,Blues,happy,1989
Danny Wilson,The Second Summer Of Love,Rock,happy,1989
Shawn Colvin,Another Long One,Rock,sad,1989
Backstreet Boys,Larger Than Life,Pop,happy,1999
Glad,,Christian,happy,1993
Tom Petty,A Higher Place (Album Version),Rock,sad,1994
Mitch Ryder,Jenny Take a Ride,Rock,happy,2004
Lupe Fiasco,Streets On Fire (Explicit Album Version),Hip Hop/Rap,sad,2007
Gwen Stefani,Harajuku Girls,Pop,happy,2004
Story Of The Year,Swallow The Knife (Live) (Segue),Rock,sad,2005
Natural Elements,Mayday,Hip Hop/Rap,sad,1998
Neil Sedaka,Because Of You,Pop,happy,1999
A Static Lullaby,Rattlesnake!,Rock,sad,2008
Nights Like These,Ghost Town Rituals (Album Version),Rock,sad,2006
Oasis,Morning Glory,Pop,happy,1995
Eddy Arnold,Just A Little Lovin' (Will Go A Long Way),Country,happy,1967
All Time Low,Shameless,Rock,happy,2007
Daath,From The Blind (LP Version),Rock,sad,2006
UFO,Chains Chains (Live In Hammersmith),Rock,sad,1981
VHS Or Beta,The Melting Moon (Edit),Rock,happy,2004
Bullet For My Valentine,Suffocating Under Words Of Sorrow (What Can I Do),Rock,sad,2005
Beatnuts,Monster For Music,Hip Hop/Rap,sad,1999
Rise Against,Everchanging,Rock,sad,2001
Pursuit Of Happiness,Forbidden Fruit,Rock,sad,1975
Amy Winehouse,Stronger Than Me,R&B,happy,2003
Michael Card,Joy In The Journey (The Final Word Album Version),Christian,happy,1992
A Static Lullaby,God Bless You (Goddamn it),Rock,sad,2005
Scar Symmetry,The Illusionist,Rock,happy,2006
Eighteen Visions,Our Darkest Days,Rock,sad,2006
George Harrison,Hear Me Lord (2001 Digital Remaster),Rock,sad,1970
Weezer,Don't Let Go,Rock,happy,2001
Jackson United,Undertow,Rock,happy,2008
Creedence Clearwater Revived,,Rock,happy,1971
Hatebreed,As Diehard As They Come (Album Version),Rock,sad,2006
Sister Hazel,Walls And Cannonballs (Album),Rock,happy,2010
Kings Of Leon,Knocked Up,Rock,sad,2007
Brooke Valentine,Taste Of Dis (Explicit Version),Hip Hop/Rap,happy,2005
Mary Black,Turning Away,Pop,happy,1999
Owl City,Panda Bear,Electronic,happy,2007
The Rascals,Nubia (LP Version),R&B,happy,1969
Shakira,Pienso En Ti,Pop,sad,1995
Blink-182,A New Hope,Rock,happy,1997
Abysmal Dawn,Compulsory Resurrection,Rock,sad,2008
Chaotica,Lobotomy,Rock,sad,1999
Neil Innes,Lie Down And Be Counted (2007 Digital Remaster),Pop,sad,1974
Siouxsie,Into A Swan,,happy,2007
Zeromancer,Ammonite,Rock,sad,2009
Two Man Advantage,The Sweep,Rock,happy,2001
Green Day,Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05),Rock,sad,2005
Donny Hathaway,This Christmas (LP Version),Soul,happy,1970
